Year,Month,State,Location,Food,Ingredient,Species,Serotype/Genotype,Status,Illnesses,Hospitalizations,Fatalities
1998,January,Maryland,Restaurant,,,Hepatitis A,,Confirmed,21,,
1998,January,Maryland,Restaurant,,,Bacillus cereus,,Suspected,3,0,0
1998,January,Maryland,Restaurant,,,,,,2,,0
1998,January,Maryland,Restaurant,,,,,,2,0,0
1998,January,Maryland,Restaurant,"Rice, Unspecified; Chicken, Unspecified; Pork, Unspecified",,,,,3,,0
1998,January,Maryland,Restaurant,"Cake, Tiramisu; Eggs, Other",,Salmonella enterica,Enteritidis,Confirmed,8,0,0
1998,January,Maryland,Private Home/Residence,Chicken Salad,,Salmonella enterica,Typhimurium,Confirmed,5,1,0
1998,January,Maryland,Restaurant,Chicken Fried Rice,,Clostridium perfringens,,Suspected,4,0,0
1998,January,Maryland,Restaurant,,,,,,4,0,0
1998,January,Massachusetts,Restaurant,"Dips, Unspecified",,Shigella sonnei,,Confirmed,79,6,0
1998,January,Massachusetts,,,,,,,115,0,0
1998,January,Michigan,,"Chicken, Unspecified; Cake, Cheese",,,,,2,,
1998,January,Michigan,,"Macaroni And Cheese; Chicken, Unspecified",,,,,6,,
1998,January,Michigan,,Multiple Foods,,,,,5,,
1998,January,Michigan,Restaurant,"Eggs, Unspecified; Pork, Bacon; Potato, Unspecified",,,,,2,,
1998,January,Michigan,,,,,,,133,,
1998,January,Michigan,Restaurant,,,,,,47,,
1998,January,Michigan,Restaurant,"Ground Beef, Cheeseburger",,,,,4,,0
1998,January,Michigan,Restaurant,"Rice, Unspecified; Lettuce, Unspecified",,,,,5,0,0
1998,January,Michigan,,"Sandwich, Roast Beef",,,,,2,0,0
1998,January,Michigan,Restaurant,"Soup Unspecified; Stew/Chili, Unspecified; Steak, Unspecified",,,,,3,3,0
1998,January,Michigan,Restaurant,"Pizza, Unspecified",,,,,19,,
1998,January,Michigan,Restaurant,"Eggs, Unspecified",,,,,3,,
1998,January,Minnesota,,,,Shigella sonnei,,Confirmed,19,0,0
1998,January,Minnesota,Restaurant,Blue Cheese Dressing,,,,,16,0,0
1998,January,Multistate,Private Home/Residence,"Eggnog, Homemade",,Salmonella enterica,Enteritidis,Confirmed,4,0,0
1998,January,New York,Restaurant,,,Salmonella enterica,Group D1,Confirmed,3,1,0
1998,January,New York,,"Sausage, Dried",,Salmonella enterica,Group B,Confirmed,2,,
1998,January,New York,Catering Service,Unspecified Fruit,,,,,26,0,0
1998,January,North Carolina,Catering Service,,,Norovirus genogroup I,,Suspected,8,,
1998,January,Ohio,Restaurant,,,,,,2,0,0
1998,January,Ohio,Restaurant,,,,,,3,0,0
1998,January,Ohio,Restaurant,,,,,,2,0,0
1998,January,Ohio,Restaurant,,,,,,2,0,0
1998,January,Ohio,Restaurant,"Pizza, Pepperoni",,,,,4,,
1998,January,Oregon,,,,Shigella boydii,,Confirmed,2,,
1998,January,Oregon,,"Homemade Cheese, Unspecified",,Salmonella enterica,Typhimurium,Confirmed,8,0,0
1998,January,Pennsylvania,,"Cake, Unspecified; Ice Cream, Unspecified",,,,,23,0,0
1998,January,Pennsylvania,Restaurant; Catering Service,"Pasta, Unspecified; Meatballs",,Salmonella enterica,Enteritidis,Confirmed,4,2,0
1998,January,Pennsylvania,Restaurant,"Chicken, Unspecified",,,,,16,0,0
1998,January,Pennsylvania,Restaurant,,,,,,17,0,0
1998,January,Texas,,Turkey Salad,,Staphylococcus aureus,,Suspected,218,,
1998,January,Virginia,Restaurant,,,,,,13,0,0
1998,January,Washington,Restaurant,,,,,,3,0,0
1998,January,Washington,Restaurant,,,,,,3,0,0
1998,January,Wisconsin,Catering Service,"Beef, Unspecified",,Clostridium perfringens,,Confirmed,34,0,0
1998,February,California,Restaurant,"Enchilada, Chicken",,Salmonella enterica,Enteritidis,Confirmed,10,1,0
1998,February,Colorado,Restaurant,Onion Dip,,Virus,,Suspected,11,,
1998,February,Colorado,Restaurant,"Refried Beans, Unspecified; Peppers, Chili",,Clostridium perfringens,,Confirmed,10,0,0
1998,February,Colorado,Restaurant,Cream Cheese,,Virus,,Suspected,6,,0
1998,February,Connecticut,Restaurant,"French Toast, Unspecified; Shell Eggs, Scrambled Hard",Egg,Salmonella enterica,Enteritidis,Confirmed,10,,
1998,February,Connecticut,School/College/University,"Deli Meat, Unspecified",,,,,38,,0
1998,February,Florida,Restaurant,"Stir-Fry, Unspecified; Lettuce-Based Salads Unspecified",,Norovirus genogroup I,,Suspected,39,0,0
1998,February,Florida,Restaurant,"Pork, Bbq; Beans, Baked",,Clostridium perfringens,,Suspected,3,0,0
1998,February,Florida,,"Hot Dog, Unspecified",,,,,8,0,0
1998,February,Florida,Restaurant,"Beef, Other",,Clostridium perfringens,,Suspected,3,0,0
1998,February,Florida,Restaurant,"Chicken, Buffalo Wings",,,,,6,0,0
1998,February,Florida,Restaurant,"Chicken, Other",,,,,2,1,0
1998,February,Florida,Grocery Store,"Oil, Unspecified",,,,,4,0,0
1998,February,Florida,Catering Service,"Stir-Fry, Unspecified; Caesar Salad",,Norovirus genogroup I,,Suspected,35,1,
1998,February,Florida,,"Burrito, Unspecified",,Staphylococcus aureus,,Suspected,18,0,0
1998,February,Florida,,"Hot Dog, Unspecified",,,,,2,0,0
1998,February,Florida,Restaurant,,,Staphylococcus aureus,,Suspected,8,0,0
1998,February,Florida,Restaurant; Grocery Store,"Pudding, Chocolate; Salad, Unspecified; Cake, Carrot",,,,,3,0,0
1998,February,Florida,Restaurant,,,,,,5,0,0
1998,February,Florida,Restaurant,"Salmon, Unspecified",,,,,2,0,0
1998,February,Florida,,"Ethnic Style, Unspecified",,Bacillus cereus,,Suspected,4,0,0
1998,February,Florida,Restaurant,"Ethnic Style, Unspecified",,,,,2,0,0
1998,February,Florida,Catering Service,"Rice, Unspecified",,Bacillus cereus,,Suspected,50,1,0
1998,February,Florida,Restaurant,"Tuna Dishes, Unspecified",,,,,2,,0
1998,February,Florida,Restaurant,"Rice, Unspecified",,Bacillus cereus,,Suspected,43,0,0
1998,February,Florida,Restaurant,"Cream Sauce, Unspecified",,Bacillus cereus,,Suspected,15,0,0
1998,February,Florida,Restaurant,"Ground Beef, Hamburger",,,,,4,0,0
1998,February,Florida,Restaurant,Wine,,,,,3,2,0
1998,February,Florida,Restaurant,"Ground Beef, Hamburger",,,,,3,0,0
1998,February,Illinois,Restaurant,,,,,,33,0,0
1998,February,Indiana,,Macaroni Salad,,Staphylococcus aureus,,Confirmed,101,0,0
1998,February,Indiana,Restaurant,"Crepe, Unspecified",,,,,9,0,0
1998,February,Maryland,Restaurant,,,,,,8,0,0
1998,February,Maryland,Restaurant,,,,,,3,,
1998,February,Maryland,Restaurant,"Sandwich, Chicken",,,,,6,,
1998,February,Maryland,Restaurant,"Eggs, Unspecified; Biscuits And Gravy",,,,,2,,
1998,February,Maryland,Restaurant,,,,,,2,,
1998,February,Maryland,Restaurant,,,,,,17,0,0
1998,February,Michigan,Restaurant,"Sandwich, Reuben; Ground Beef, Hamburger",,,,,3,,
1998,February,Michigan,Restaurant,"Chicken, Unspecified; Coleslaw",,,,,5,,
1998,February,Michigan,Restaurant,"Taco, Unspecified",,,,,5,,
1998,February,Michigan,Restaurant,Ice,,,,,4,,
1998,February,Michigan,Restaurant,Pita,,,,,8,,
1998,February,Michigan,Catering Service,"Chicken, Unspecified",,,,,20,,
1998,February,Michigan,Restaurant,"Pizza, Unspecified",,,,,4,0,0
1998,February,Michigan,Restaurant,Unspecified Fish; French Fries,,,,,2,0,0
1998,February,Minnesota,Restaurant; Private Home/Residence,,,Norovirus genogroup I,,Confirmed,13,0,0
1998,February,Minnesota,School/College/University,"Ground Beef, Unspecified",,Clostridium perfringens; Staphylococcus aureus,,Suspected; Suspected,16,0,0
1998,February,Mississippi,Restaurant,,,,,,12,,
1998,February,Nebraska,Restaurant,"Steak, Prime Rib; Potato, Baked",,Clostridium perfringens,,Confirmed,45,0,0
1998,February,New Hampshire,Catering Service,,,,,,16,,
1998,February,New Jersey,Restaurant,,,Shigella flexneri,Serotype 2 Unspecified,Confirmed,10,6,0
1998,February,New York,Restaurant,,,,,,8,0,0
1998,February,New York,Catering Service,"Egg Salad/Egg Salad Sandwich; Fish, White",,,,,23,,
1998,February,New York,Catering Service,,,,,,17,0,0
1998,February,New York,Catering Service,,,,,,17,1,0
1998,February,New York,Catering Service,,,,,,18,,
1998,February,New York,Restaurant,"Deli Meat, Multiple",,Yersinia enterocolitica,,Confirmed,9,0,0
1998,February,North Carolina,Catering Service,,,Campylobacter unknown,,Confirmed,9,,
1998,February,North Carolina,Restaurant,"Roast Beef, Unspecified",,,,,9,,0
1998,February,Ohio,Restaurant,"Taco, Beef",,,,,2,1,0
1998,February,Ohio,Restaurant,,,,,,3,0,0
1998,February,Ohio,Restaurant,,,,,,4,,
1998,February,Ohio,Catering Service,"Nuts, Unspecified",,,,,25,,
1998,February,Ohio,Private Home/Residence,"Shrimp, Unspecified",,,,,2,0,0
1998,February,Ohio,Restaurant,,,,,,2,0,0
1998,February,Ohio,Restaurant,,,,,,3,0,0
1998,February,Ohio,Restaurant,,,,,,4,0,0
1998,February,Ohio,Restaurant,,,,,,4,0,0
1998,February,Ohio,Restaurant,"Chicken, Nuggets/Fingers",,,,,3,1,0
1998,February,Ohio,Restaurant,,,,,,2,0,0
1998,February,Oregon,Private Home/Residence,"Oysters, Fried",Shellfish,,,,4,0,0
1998,February,Oregon,Nursing Home/Assisted Living Facility,,,Norovirus genogroup I,,Suspected,29,2,0
1998,February,Oregon,Restaurant,Caesar Salad,,,,,38,0,0
1998,February,Oregon,Restaurant,Pasta-Based Salads Unspecified,,,,,15,0,0
1998,February,Pennsylvania,Restaurant,"Seafood Soup/Stew, Unspecified; Butter; Soda, Unspecified",,,,,20,0,0
1998,February,Pennsylvania,Restaurant,"Soda, Unspecified; Butter; Seafood, Unspecified",,,,,11,0,0
1998,February,Pennsylvania,Restaurant,"Soup, Other Seafood Chowder; Butter; Soda, Other",,,,,20,0,0
1998,February,Pennsylvania,Restaurant,,,Salmonella enterica,Litchfield,Confirmed,6,2,0
1998,February,Pennsylvania,Restaurant,,,,,,15,0,0
1998,February,Texas,,,,,,,2,,
1998,February,Texas,Camp,,,,,,5,,
1998,February,Texas,Restaurant,"Soup, Chicken",,Staphylococcus aureus,,Suspected,22,,
1998,February,Texas,Restaurant,,,Hepatitis A,,Confirmed,94,,1
1998,February,Washington,Restaurant,,,,,,4,0,0
1998,February,Washington,Restaurant,,,,,,2,0,0
1998,February,Washington,Restaurant,,,,,,3,0,0
1998,March,Alabama,Restaurant,,,,,,3,2,0
1998,March,Alabama,Restaurant,,,,,,2,0,0
1998,March,Arkansas,Grocery Store,"Chicken, Smoked",Chicken,Streptococcus group A,,Confirmed,4,4,
1998,March,California,Restaurant,,,Salmonella enterica,Enteritidis,Confirmed,26,,
1998,March,California,,"Sausage, Unspecified",,,,,5,1,0
1998,March,California,Restaurant,"Chile Relleno, Unspecified; Rice, Unspecified; Beans, Unspecified",,Salmonella enterica,Enteritidis,Confirmed,4,0,0
1998,March,California,Private Home/Residence,,,,,,7,0,0
1998,March,California,Private Home/Residence,"Ice Cream, Unspecified; Eggs, Other",,Salmonella enterica,Enteritidis,Confirmed,6,1,0
1998,March,California,Private Home/Residence,"Chicken, Unspecified; Rice, Unspecified; Beans, Unspecified",,Clostridium perfringens,,Confirmed,48,0,0
1998,March,California,Restaurant,"Fish, Ahi",,Scombroid toxin,,Confirmed,6,0,0
1998,March,Colorado,Restaurant,,,Virus,,Suspected,23,,
1998,March,Florida,Hospital,"Leaf Lettuce, Unspecified",,Norovirus genogroup I,,Suspected,14,,
1998,March,Florida,Restaurant,"Salami, Unspecified",,,,,11,0,0
1998,March,Florida,Restaurant,"Taco, Beef",,,,,2,0,0
1998,March,Florida,Restaurant,"Nachos, Unspecified",,Staphylococcus aureus,,Suspected,2,0,0
1998,March,Florida,Restaurant,"Pasta, Unspecified; Chicken, Unspecified",,,,,3,0,0
1998,March,Florida,Restaurant,Multiple Foods,,,,,2,0,0
1998,March,Florida,Restaurant,"Pizza, Meat",,,,,2,2,0
1998,March,Florida,Restaurant,"Chicken, Bbq",,Salmonella enterica,,Suspected,2,0,0
1998,March,Florida,Restaurant,"Beans, Baked",,,,,3,0,0
1998,March,Florida,Restaurant,"Rice, Unspecified; Beans, Unspecified",,,,,2,,0
1998,March,Florida,Restaurant,"Steak, Other",,,,,2,0,0
1998,March,Florida,Restaurant,"Sandwich, Unspecified; Salad, Unspecified",,Norovirus genogroup I,,Suspected,24,0,0
1998,March,Florida,Restaurant,"Ground Beef, Cheeseburger",,,,,2,0,0
1998,March,Florida,Restaurant,"Pasta, Unspecified; Chicken, Unspecified",,,,,3,1,0
1998,March,Florida,Restaurant,"Pork, Bbq",,Staphylococcus aureus,,Suspected,2,0,0
1998,March,Florida,Restaurant,"Fish, Sole",,,,,4,0,0
1998,March,Florida,Restaurant,"Pork, Bbq",,,,,2,0,0
1998,March,Florida,Restaurant,,,,,,3,2,0
1998,March,Florida,Restaurant,"Oysters, Raw",,,,,2,,0
1998,March,Florida,,"Sauces, Unspecified",,Bacillus cereus,,Suspected,2,0,0
1998,March,Florida,Restaurant,,,,,,2,0,0
1998,March,Florida,Restaurant,"Chicken, Unspecified",,Salmonella enterica,Enteritidis,Suspected,4,0,0
1998,March,Florida,Restaurant,Ice,,Norovirus genogroup I,,Suspected,7,0,0
1998,March,Florida,Restaurant,"Cream, Unspecified",,,,,2,0,0
1998,March,Florida,Restaurant,"Enchilada, Chicken",,Salmonella enterica,,Suspected,3,0,0
1998,March,Florida,Restaurant,Ice,,Norovirus genogroup I,,Suspected,8,0,0
1998,March,Florida,School/College/University,"Hot Dog, Unspecified",,Salmonella enterica,Enteritidis,Confirmed,2,1,0
1998,March,Florida,Restaurant,"Sandwich, Chicken",,Staphylococcus aureus,,Suspected,3,0,0
1998,March,Florida,Restaurant,,,,,,3,0,0
1998,March,Florida,Restaurant,Coleslaw,,,,,3,0,0
1998,March,Florida,Restaurant,"Steak, Other",,Salmonella enterica,,Suspected,2,0,0
1998,March,Florida,Restaurant,"Rice, Unspecified; Chicken, Unspecified; Beans, Unspecified",,,,,2,0,0
1998,March,Florida,Private Home/Residence,"Cake, Chocolate",,,,,2,0,0
1998,March,Florida,Private Home/Residence,"Bread, Cornbread; Chicken, Unspecified; Ham, Unspecified",,Clostridium perfringens,,Suspected,18,0,0
1998,March,Florida,School/College/University,,,Norovirus genogroup I,,Confirmed,44,0,0
1998,March,Florida,Restaurant,,,Campylobacter unknown,,Confirmed,4,0,0
1998,March,Florida,Restaurant,"Cake, Unspecified; Water; Potato, Unspecified",,,,,4,0,0
1998,March,Hawaii,Private Home/Residence,Unspecified Fish,,Ciguatoxin,,Confirmed,2,0,0
1998,March,Hawaii,Restaurant,"Tart, Fruit",,,,,39,0,0
1998,March,Hawaii,Restaurant,"Fish, Swordfish",,Scombroid toxin,,Confirmed,2,0,0
1998,March,Illinois,Restaurant,,,,,,6,0,0
1998,March,Illinois,Restaurant,Hollandaise Sauce,,Salmonella enterica,Enteritidis,Confirmed,2,0,0
1998,March,Illinois,Restaurant,"Mixed Fruit; Roast Beef, Unspecified",,Norovirus genogroup II,Unknown,Confirmed,103,1,0
1998,March,Illinois,Restaurant,,,,,,3,0,0
1998,March,Illinois,Restaurant,,,,,,9,0,0
1998,March,Maryland,Restaurant,Shrimp Salad,,,,,11,1,
1998,March,Maryland,Office/Indoor Workplace,,,Hepatitis A,,Confirmed,5,,
1998,March,Maryland,Restaurant; Catering Service,"Milkshake; Nachos, Unspecified",,Norovirus genogroup I,,Suspected,26,0,0
1998,March,Maryland,Restaurant,,,,,,3,,
1998,March,Maryland,Restaurant,"Other Cheese, Unspecified; French Fries",,,,,3,0,0
1998,March,Maryland,,,,,,,3,0,0
1998,March,Maryland,Restaurant,,,,,,3,0,0
1998,March,Maryland,Restaurant,"Chicken, Unspecified",,,,,2,0,0
1998,March,Massachusetts,Restaurant,,,Salmonella enterica,Typhimurium,Confirmed,6,,
1998,March,Michigan,Restaurant,"Chili Sauce, Unspecified; Hot Dog, Unspecified",,,,,3,,
1998,March,Michigan,Restaurant,"French Toast, Unspecified; Beef, Jerky",,,,,2,,
1998,March,Michigan,Restaurant,"Pizza, Unspecified",,,,,5,,
1998,March,Michigan,,,,,,,11,,
1998,March,Michigan,Restaurant,"Sushi, Unspecified",,,,,2,0,0
1998,March,Michigan,Restaurant,"Rice, Unspecified; Chicken, Unspecified; Salad, Unspecified",,,,,2,1,0
1998,March,Michigan,,"Shrimp, Unspecified; Caesar Salad",,,,,3,,
1998,March,Michigan,Restaurant,"Sandwich, Submarine",,,,,15,0,0
1998,March,Minnesota,Restaurant,Pasta Salad,,Shigella sonnei,,Confirmed,30,1,0
1998,March,Minnesota,Restaurant,"Potato Salad; Vegetable Dip, Unspecified",,,,,7,0,0
1998,March,Minnesota,Restaurant,,,,,,4,0,0
1998,March,New Hampshire,Catering Service,,,,,,12,,
1998,March,New Mexico,Restaurant,"Milk, 1% Milk Unpasteurized; Sauces, Unspecified",,Staphylococcus aureus,,Confirmed,20,3,0
1998,March,New York,Restaurant,Multiple Foods,,,,,17,0,0
1998,March,New York,Restaurant,"Chicken, Unspecified",,,,,5,,
1998,March,New York,,Multiple Foods,,,,,47,,
1998,March,New York,Restaurant,"Salad, Unspecified",,,,,14,0,0
1998,March,New York,Restaurant,,,,,,9,0,0
1998,March,North Carolina,,,,Salmonella enterica,,Confirmed,9,,
1998,March,North Carolina,Prison/Jail,"Sandwich, Submarine",,Norovirus genogroup I,,Confirmed,75,,
1998,March,Ohio,Restaurant,"Chicken, Fried",,,,,2,0,0
1998,March,Ohio,Private Home/Residence,,,,,,8,1,0
1998,March,Ohio,,,,,,,3,0,0
1998,March,Ohio,,,,,,,5,0,0
1998,March,Ohio,,,,,,,49,0,0
1998,March,Ohio,,,,Salmonella enterica,Typhimurium,Confirmed,7,,
1998,March,Ohio,Restaurant,,,,,,5,0,0
1998,March,Ohio,Restaurant,,,,,,7,,0
1998,March,Ohio,Restaurant,,,,,,2,0,0
1998,March,Ohio,Restaurant,Onion Dip,,,,,3,0,0
1998,March,Ohio,Restaurant,Hollandaise Sauce,,Salmonella enterica,Montevideo,Confirmed,4,1,0
1998,March,Oregon,Restaurant,,,Norovirus genogroup I,,Suspected,28,1,0
1998,March,Oregon,Restaurant,"Chicken, Fried",,Staphylococcus aureus,,Confirmed,5,0,0
1998,March,Pennsylvania,,,,,,,16,0,0
1998,March,Pennsylvania,,,,,,,3,0,0
1998,March,Pennsylvania,Restaurant,"Lettuce, Unspecified",,,,,3,0,0
1998,March,Pennsylvania,Catering Service,Turkey And Stuffing,,Salmonella enterica,Heidelberg,Confirmed,25,1,0
1998,March,Tennessee,,,,,,,48,0,0
1998,March,Texas,,,,Virus,,Suspected,78,,
1998,March,Texas,School/College/University,"Sandwich, Unspecified",,Norovirus genogroup II,Unknown,Confirmed,125,60,0
1998,March,Utah,Private Home/Residence,,,Salmonella enterica,Enteritidis,Suspected,7,1,0
1998,March,Virginia,Restaurant,"Pie, Unspecified; Eggs, Other",,Salmonella enterica,Enteritidis,Confirmed,23,5,0
1998,March,Virginia,,,,Virus,,Suspected,28,,
1998,March,Virginia,Restaurant,"Rice, Unspecified; Chicken, Unspecified",,,,,8,,
1998,March,Virginia,Restaurant,,,Norovirus genogroup I,,Confirmed,56,1,0
1998,March,Washington,Restaurant,"Tuna, Unspecified",,Scombroid toxin,,Confirmed,2,0,0
1998,March,Washington,Restaurant,,,Hepatitis A,,Confirmed,8,0,0
1998,March,Washington,Restaurant,,,,,,2,0,0
1998,March,Washington,Restaurant,,,,,,2,0,0
1998,March,Washington,,,,,,,16,0,0
1998,March,Washington,Restaurant,,,,,,3,6,0
1998,March,Washington,Restaurant,,,,,,8,,
1998,March,Washington,Restaurant,,,,,,2,0,0
1998,March,Wisconsin,,,,Norovirus genogroup I,,Confirmed,65,1,0
1998,April,California,,,,,,,15,,
1998,April,California,Restaurant,,,Shigella boydii,,Confirmed,72,7,0
1998,April,California,Restaurant,,,,,,19,0,0
1998,April,California,Catering Service,,,,,,11,0,0
1998,April,California,,"Cake, Cheese; Pasta, Unspecified",,,,,39,0,0
1998,April,California,Private Home/Residence,,,Salmonella enterica,Coeln,Confirmed,7,,0
1998,April,California,Restaurant,"Pizza, Meat",,,,,7,0,0
1998,April,California,Restaurant,"Pate, Unspecified",,Clostridium perfringens,,Confirmed,11,0,0
1998,April,Colorado,Restaurant,"Rice, Unspecified; Beans, Unspecified",,Bacillus cereus,,Suspected,2,,0
1998,April,Colorado,Catering Service,"Salad, Unspecified",,Virus,,Suspected,11,,0
1998,April,Colorado,Catering Service,,,Virus,,Suspected,12,,0
1998,April,Florida,Child Daycare,"Hot Dog, Unspecified",,Norovirus genogroup II,Unknown,Confirmed,40,,
1998,April,Florida,,"Chicken, Bbq",,Salmonella enterica,,Suspected,2,,
1998,April,Florida,Restaurant,"Rice, Spanish",,Staphylococcus aureus,,Suspected,4,0,0
1998,April,Florida,,Multiple Foods,,Salmonella enterica,Enteritidis,Confirmed,2,0,0
1998,April,Florida,,Green Salad,,Norovirus genogroup I,,Suspected,27,0,0
1998,April,Florida,Restaurant,"Chicken, Buffalo Wings",,Salmonella enterica,Enteritidis,Suspected,4,0,0
1998,April,Florida,Restaurant,"Chicken, Nuggets/Fingers",,,,,2,0,0
1998,April,Florida,Restaurant,"Chicken, Buffalo Wings",,,,,2,0,0
1998,April,Florida,Catering Service,"Sausage, Unspecified",,Clostridium perfringens,,Suspected,3,0,0
1998,April,Florida,Restaurant,"Beef, Unspecified; Potato, Unspecified",,Clostridium perfringens,,Suspected,4,0,0
1998,April,Florida,Restaurant,Pita; Chicken Salad,,Virus,,Suspected,3,1,0
1998,April,Florida,Restaurant,"Other Cheese, Unspecified; Ground Beef, Unspecified",,,,,2,0,0
1998,April,Florida,Restaurant,"Chicken, Other",,Salmonella enterica,,Suspected,3,1,0
1998,April,Florida,Restaurant,"Rice, Unspecified; Chicken, Fried; Beans, Unspecified",,,,,4,0,0
1998,April,Florida,Restaurant,"Sandwich, Gyro",,,,,3,0,0
1998,April,Florida,Restaurant,"Crab, Unspecified; Shrimp, Unspecified",,Vibrio parahaemolyticus,,Suspected,5,0,0
1998,April,Florida,Private Home/Residence,"Deviled Eggs; Salad, Unspecified",,Norovirus genogroup I,,Suspected,12,2,0
1998,April,Florida,Restaurant,"Rice, Yellow",,Bacillus cereus,,Suspected,3,0,0
1998,April,Florida,Restaurant,"Ground Beef, Cheeseburger",,,,,3,2,0
1998,April,Florida,Restaurant,"Fish, Grouper, Unspecified; Salmon, Unspecified",,Staphylococcus aureus,,Suspected,3,0,0
1998,April,Florida,Restaurant,Multiple Foods,,Clostridium perfringens,,Suspected,6,0,0
1998,April,Florida,Restaurant,"Onion, Unspecified",,Bacillus cereus,,Suspected,2,0,0
1998,April,Florida,Restaurant,"Chicken, Fried",,,,,2,0,0
1998,April,Florida,Restaurant,"Beef, Stroganoff",,,,,2,0,0
1998,April,Florida,Restaurant,"Chicken, Fried",,,,,2,0,0
1998,April,Georgia,,"Salad, Unspecified",,Norovirus genogroup II,Unknown,Confirmed,51,,
1998,April,Hawaii,Restaurant,,,,,,19,0,0
1998,April,Hawaii,Private Home/Residence,"Fish, Papio",,Ciguatoxin,,Confirmed,5,0,0
1998,April,Illinois,School/College/University,,,Salmonella enterica,Heidelberg,Confirmed,46,1,0
1998,April,Indiana,Restaurant,"Pork, Unspecified",,Clostridium perfringens,,Confirmed,18,,
1998,April,Iowa,Restaurant,"Taco, Unspecified",,Clostridium perfringens,,Suspected,53,0,0
1998,April,Kansas,Catering Service,,,,,,30,0,0
1998,April,Louisiana,Prison/Jail,"Beets, Unspecified; Pudding, Bread",,Clostridium perfringens,,Confirmed,65,0,0
